time_sec,x,y,w,h
16.957,1598,477,137,424
16.99,1587,479,139,428
17.024,1572,482,133,437
17.058,1565,493,130,425
17.092,1548,497,128,415
17.125,1540,484,127,428
17.159,1528,492,127,434
17.193,1521,485,128,436
17.226,1511,489,141,437
17.26,1502,492,136,440
17.294,1498,493,138,433
17.328,1489,483,129,430
17.361,1480,495,128,421
17.395,1471,497,139,416
17.429,1469,489,152,416
17.462,1458,491,147,398
17.496,1456,489,155,409
17.53,1433,500,186,399
17.563,1421,502,166,396
17.597,1406,504,156,392
17.631,1398,502,152,403
17.665,1395,506,142,405
17.698,1384,506,119,397
17.732,1376,507,123,402
17.766,1362,505,117,407
17.799,1351,506,119,410
17.833,1349,503,120,411
17.867,1345,502,127,404
17.901,1330,495,122,388
17.934,1318,493,117,389
17.968,1312,501,110,402
18.002,1301,502,115,406
18.035,1289,501,120,399
18.069,1288,503,121,385
18.103,1283,507,153,393
18.137,1268,510,199,398
18.17,1268,510,197,397
18.204,1271,511,188,395
18.238,1256,513,178,396
18.271,1229,515,123,394
18.305,1219,513,113,385
18.339,1212,513,108,390
18.373,1204,511,109,389
18.406,1195,512,100,393
18.44,1192,515,104,395
18.474,1185,514,103,396
18.507,1175,507,104,387
18.541,1169,510,102,386
18.575,1159,506,96,374
18.609,1156,504,103,370
18.642,1150,510,98,373
18.676,1144,519,101,353
18.71,1136,517,126,376
18.743,1125,521,137,376
18.777,1117,521,134,372
18.811,1112,521,131,372
18.845,1088,523,118,374
18.878,1086,519,106,380
18.912,1080,518,98,381
18.946,1071,520,101,377
18.979,1064,523,92,371
19.013,1054,521,93,369
19.047,1046,523,92,373
19.08,1037,520,95,370
19.114,1032,519,97,371
19.148,1028,517,101,364
19.182,1022,534,109,350
19.215,1016,531,110,344
19.249,1012,542,116,335
19.283,1000,544,136,329
19.316,991,548,156,321
19.35,984,545,172,328
19.384,985,543,164,336
19.418,984,541,165,341
19.451,982,533,164,351
19.485,976,517,155,389
19.519,968,522,153,367
19.552,956,535,144,342
19.586,943,532,128,349
19.62,934,539,116,334
19.654,927,538,116,339
19.687,922,526,110,364
19.721,909,532,97,344
19.755,904,528,98,349
19.788,898,533,104,339
19.822,885,537,127,336
19.856,875,538,147,340
19.89,868,534,159,340
19.923,858,538,171,336
19.957,853,538,179,338
